continent	country	term	estimate	std.error	statistic	p.value
Africa	Algeria	intercept	43.3749743589744	0.718420236072586	60.3754908075723	3.77607470991385e-14
Africa	Algeria	I(year - offset)	0.56927972027972	0.0221270703721839	25.7277493452258	1.80814336319391e-10
Africa	Angola	intercept	32.1266538461539	0.764035492705228	42.0486406101406	1.38788764029736e-12
Africa	Angola	I(year - offset)	0.20933986013986	0.0235320029490744	8.89596438488014	4.59349840616498e-06
Africa	Benin	intercept	39.5885128205128	0.637881859751381	62.0624528120971	2.86846806338235e-14
Africa	Benin	I(year - offset)	0.334232867132867	0.0196465189747694	17.0123199719044	1.0371382348889e-08
Africa	Botswana	intercept	52.9291153846154	3.31904058114134	15.9471130559104	1.9386111418546e-08
Africa	Botswana	I(year - offset)	0.0606685314685308	0.102225189129595	0.593479278298216	0.566041352585499
Africa	Burkina Faso	intercept	34.6846923076923	1.11161364684703	31.2021109187276	2.68483973895909e-11
Africa	Burkina Faso	I(year - offset)	0.363974825174825	0.0342372780657296	10.6309509907901	9.04750585098712e-07
Africa	Burundi	intercept	40.578641025641	0.874686171588846	46.3922288286906	5.21699938303137e-13
Africa	Burundi	I(year - offset)	0.154134265734266	0.0269400018269628	5.72139032225309	0.000192567696716677
Africa	Cameroon	intercept	41.2494615384616	1.761133052294	23.422115373243	4.55909265968745e-10
Africa	Cameroon	I(year - offset)	0.250146853146853	0.0542422290272891	4.61166249309195	0.000962781708619343
Africa	Central African Republic	intercept	38.8095128205128	1.9138932425616	20.2777835029969	1.87525063110337e-09
Africa	Central African Republic	I(year - offset)	0.183905594405594	0.0589471848601005	3.11983676306269	0.010876998153315
Africa	Chad	intercept	39.8093717948718	0.994510082641307	40.0291284017379	2.26440842613315e-12
Africa	Chad	I(year - offset)	0.253244055944055	0.030630532771111	8.2677000049735	8.81561566393022e-06
Africa	Comoros	intercept	39.996	0.259915279477427	153.880911043068	3.29923049322617e-18
Africa	Comoros	I(year - offset)	0.450390909090909	0.00800529187658044	56.2616474245657	7.63303968298643e-14
Africa	Congo, Dem. Rep.	intercept	41.9610769230769	1.31926341581419	31.8064432167859	2.22008212380118e-11
Africa	Congo, Dem. Rep.	I(year - offset)	0.0939153846153844	0.0406328120721517	2.31131885355655	0.0434098141522265
Africa	Congo, Rep.	intercept	47.1367820512821	1.92582410411277	24.4761616341893	2.95605413498711e-10
Africa	Congo, Rep.	I(year - offset)	0.195095804195804	0.0593146508638238	3.28916720160269	0.00816150229186549
Africa	Cote dIvoire	intercept	44.845858974359	2.13167799703297	21.0378204573012	1.30801726773788e-09
Africa	Cote dIvoire	I(year - offset)	0.130556643356643	0.0656548725701804	1.98852938473207	0.0748035022044142
Africa	Djibouti	intercept	36.2771538461539	0.611784668361338	59.2972588595952	4.51961355980958e-14
Africa	Djibouti	I(year - offset)	0.367403496503496	0.0188427353932258	19.4984161713369	2.75055194310775e-09
Africa	Egypt	intercept	40.968	0.564299573062493	72.5997359481665	5.99759525849966e-15
Africa	Egypt	I(year - offset)	0.555454545454545	0.0173802124956925	31.9590192347883	2.11724585371879e-11
Africa	Equatorial Guinea	intercept	34.4303076923077	0.178485466153734	192.902584363099	3.44496864782447e-19
Africa	Equatorial Guinea	I(year - offset)	0.310170629370629	0.00549728455811022	56.4225166246907	7.4187909362817e-14
Africa	Eritrea	intercept	35.6952692307692	0.812752798241783	43.9189742662078	9.00089043073691e-13
Africa	Eritrea	I(year - offset)	0.37469020979021	0.0250324774538621	14.9681632783175	3.56840581674347e-08
Africa	Ethiopia	intercept	36.0281538461539	0.568776719313183	63.34322876235	2.33961156765684e-14
Africa	Ethiopia	I(year - offset)	0.307185314685314	0.0175181068995266	17.535303126482	7.73127242179023e-09
Africa	Gabon	intercept	38.9353461538461	2.20146529594832	17.6861048981806	7.11421661197231e-09
Africa	Gabon	I(year - offset)	0.446732867132867	0.0678042948673951	6.58856298124687	6.16612511147325e-05
Africa	Gambia	intercept	28.4003717948718	0.62314971041058	45.5755195266952	6.22621341266372e-13
Africa	Gambia	I(year - offset)	0.581825874125873	0.0191927743712217	30.3148394740827	3.57275820570526e-11
Africa	Ghana	intercept	43.4927435897436	0.419913461723721	103.575492462681	1.72455046951617e-16
Africa	Ghana	I(year - offset)	0.321742657342657	0.0129331751129145	24.8773139259036	2.51858484828631e-10
Africa	Guinea	intercept	31.5569871794872	0.649395308953846	48.5944181369657	3.28719129812769e-13
Africa	Guinea	I(year - offset)	0.424830769230769	0.0200011288367106	21.2403396177831	1.1908071469069e-09
Africa	Guinea-Bissau	intercept	31.7370384615385	0.349426745281856	90.826014007424	6.40599423780221e-16
Africa	Guinea-Bissau	I(year - offset)	0.271753146853147	0.0107622110215638	25.2506800237096	2.17465399531152e-10
Africa	Kenya	intercept	47.0020384615385	2.37961252835593	19.7519713404821	2.42443694692466e-09
Africa	Kenya	I(year - offset)	0.206507692307692	0.0732911619546058	2.81763430678853	0.0182345440179978
Africa	Lesotho	intercept	47.3790256410257	3.22225044398612	14.7037067616678	4.23452753088987e-08
Africa	Lesotho	I(year - offset)	0.0955657342657339	0.0992440896718812	0.962936277431648	0.358286370600178
Africa	Liberia	intercept	39.8364230769231	0.962684635965677	41.3805534945126	1.62759583479859e-12
Africa	Liberia	I(year - offset)	0.0959937062937062	0.0296503211027043	3.23752670202789	0.00890665088834011
Africa	Libya	intercept	42.1019358974359	0.836190277080637	50.3497075383667	2.30831182407479e-13
Africa	Libya	I(year - offset)	0.625535664335664	0.0257543428991466	24.2885507421116	3.18876589517954e-10
